WhiteElo,BlackElo,Result,Termination,Opening,ECO,TimeControl
1714,1668,0-1,Time forfeit,English Opening: Adorjan Defense,A10,540+0
1827,1909,0-1,Normal,Nimzo-Larsen Attack: Modern Variation #4,A01,180+0
1617,1672,1-0,Normal,Hungarian Opening,A00,0+1
1800,2103,0-1,Normal,Scandinavian Defense: Marshall Variation,B01,180+0
1776,1559,1-0,Time forfeit,Sicilian Defense: Staunton-Cochrane Variation,B20,660+3
1389,1681,0-1,Normal,Bird Opening,A02,60+0
1730,1814,1-0,Normal,Scandinavian Defense,B01,900+12
1802,2093,1-0,Normal,French Defense: Knight Variation,C00,180+1
1629,1660,1-0,Time forfeit,Mieses Opening,A00,0+1
1781,1578,1-0,Normal,Four Knights Game: Italian Variation,C46,300+8
1385,1500,1-0,Time forfeit,Bird Opening,A02,60+0
1465,1553,1-0,Time forfeit,Queen's Pawn Game #2,D00,1800+15
1641,1648,0-1,Time forfeit,Hungarian Opening,A00,0+1
1970,1590,1-0,Time forfeit,Pirc Defense #5,B07,0+1
1819,2145,0-1,Normal,Elephant Gambit,C40,180+0
1526,1495,0-1,Time forfeit,King's Pawn Game: McConnell Defense,C40,240+4
1973,1587,1-0,Normal,Philidor Defense,C41,0+1
1659,1596,0-1,Normal,Hungarian Opening: Symmetrical Variation,A00,0+1
1258,1396,1-0,Time forfeit,"Englund Gambit Declined, Reversed Alekhine",A40,60+0
1329,1707,0-1,Normal,King's Pawn Game: McConnell Defense,C40,300+1
1609,1646,0-1,Time forfeit,Nimzo-Larsen Attack: Symmetrical Variation,A01,0+1
2177,1815,1-0,Normal,Scotch Game: Haxo Gambit,C45,180+0
1627,1282,1-0,Normal,Sicilian Defense: McDonnell Attack,B21,180+8
1380,1532,0-1,Normal,Owen Defense,B00,480+0
1630,1585,0-1,Time forfeit,Nimzo-Larsen Attack,A01,0+1
1573,1680,0-1,Normal,Queen's Pawn,A40,60+2
1382,1432,0-1,Time forfeit,Bird Opening,A02,60+0
1618,1598,1-0,Time forfeit,Nimzo-Larsen Attack,A01,0+1
1975,1600,1-0,Time forfeit,Modern Defense: Standard Line,B06,0+1
1291,1509,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,600+3
1597,1978,0-1,Time forfeit,Van't Kruijs Opening,A00,0+1
1659,1540,1/2-1/2,Normal,Sicilian Defense,B50,600+2
1372,1539,0-1,Normal,Owen Defense,B00,480+0
1688,1563,1-0,Time forfeit,"King's Gambit Accepted, King's Knight Gambit",C34,60+2
1513,1373,0-1,Time forfeit,Robatsch (Modern) Defense,B06,60+0
1373,1513,1-0,Time forfeit,Bird Opening: From's Gambit,A02,60+0
1553,1695,0-1,Normal,Slav Defense,D10,60+2
1488,1395,1-0,Normal,Scandinavian Defense,B01,180+3
1981,1608,1-0,Time forfeit,Sicilian Defense: Franco-Sicilian Variation,B32,0+1
1455,1526,0-1,Normal,Philidor Defense #2,C41,300+8
2011,1813,1-0,Normal,Gruenfeld Defense: Makogonov Variation,D94,240+0
1786,1657,1-0,Normal,Philidor Defense #3,C41,300+8
1984,1605,1-0,Normal,Sicilian Defense: Open #2,B32,0+1
1695,1702,1-0,Normal,"Catalan Opening: Open Defense, Tarrasch Defense",E04,540+0
1407,1388,0-1,Normal,Robatsch (Modern) Defense,B06,60+0
1545,1656,0-1,Normal,English Defense #2,A40,60+2
1400,1340,1-0,Time forfeit,Bird Opening,A02,60+0
1987,1792,0-1,Time forfeit,French Defense: Exchange Variation,C01,0+1
1575,1715,1-0,Normal,Sicilian Defense,B50,300+0
1340,1400,0-1,Normal,Robatsch (Modern) Defense,B06,60+0
1967,1818,1-0,Normal,French Defense: Exchange Variation,C01,0+1
1518,1602,0-1,Normal,Sicilian Defense,B20,60+0
1663,1535,0-1,Normal,Hungarian Opening,A00,60+2
1807,1784,1-0,Time forfeit,Scotch Game: Mieses Variation,C45,180+0
1410,1295,1-0,Time forfeit,Bird Opening,A02,60+0
1545,1649,1/2-1/2,Normal,Hungarian Opening,A00,300+8
1691,1718,0-1,Normal,King's Pawn Game: Dresden Opening,C44,540+0
1388,1515,0-1,Normal,Philidor Defense,C41,300+4
1834,1772,1-0,Time forfeit,"Nimzo-Indian Defense: Panov Attack, Main Line",E54,180+2
1975,1811,0-1,Normal,French Defense: Exchange Variation,C01,0+1
1433,1446,0-1,Normal,Zukertort Opening: Sicilian Invitation,A04,180+10
1632,1449,1-0,Normal,Philidor Defense #3,C41,180+8
1956,1827,1-0,Time forfeit,Philidor Defense: Philidor Countergambit,C41,0+1
1592,1514,0-1,Normal,Queen's Pawn Game: Chigorin Variation,D00,300+0
1613,1418,1-0,Time forfeit,Modern Defense,A40,60+0
1553,1649,1-0,Normal,Owen Defense,B00,60+2
1412,1620,0-1,Time forfeit,Bird Opening,A02,60+0
1577,1709,1-0,Normal,Bishop's Opening: Boi Variation,C20,300+0
1442,1440,1-0,Normal,Italian Game: Anti-Fried Liver Defense,C55,300+3
1635,1570,0-1,Normal,Hungarian Opening,A00,60+2
1543,1740,1-0,Time forfeit,"Scotch Game: Classical Variation, Intermezzo Variation",C45,480+0
1627,1406,1-0,Normal,Modern Defense,A40,60+0
1918,1844,0-1,Normal,Scandinavian Defense,B01,180+2
1964,1648,1-0,Time forfeit,Caro-Kann Defense: Exchange Variation,B13,0+1
1327,1085,1-0,Normal,King's Pawn Game: McConnell Defense,C40,300+1
1400,1634,0-1,Time forfeit,Bird Opening,A02,60+0
1968,1644,1-0,Time forfeit,Caro-Kann Defense,B10,0+1
1609,1504,1-0,Normal,French Defense #2,C00,300+7
1934,1646,1-0,Normal,Vienna Game: Stanley Variation,C26,300+8
1738,1694,1-0,Normal,Modern Defense,A40,300+2
1640,1552,1-0,Normal,Scandinavian Defense: Main Line,B01,180+8
1628,1623,0-1,Time forfeit,Hungarian Opening,A00,0+1
1756,1972,0-1,Normal,Hungarian Opening: Symmetrical Variation,A00,0+1
1738,1681,1-0,Time forfeit,"Queen's Gambit Refused: Baltic Defense, Pseudo-Chigorin",D02,540+0
1640,1395,1-0,Time forfeit,English Opening: King's English Variation,A20,60+0
1641,1634,0-1,Time forfeit,Owen Defense,B00,0+1
1644,1630,1-0,Time forfeit,Hungarian Opening: Slav Formation,A00,0+1
1264,1381,0-1,Time forfeit,Reti Opening,A06,300+4
1630,1644,0-1,Normal,Owen Defense: Smith Gambit,B00,0+1
1709,1622,1-0,Time forfeit,Old Indian Defense: Two Knights Variation,A54,300+5
1655,1619,1-0,Time forfeit,Hungarian Opening,A00,0+1
1390,1221,1-0,Time forfeit,Bird Opening,A02,60+0
1524,1297,1-0,Time forfeit,Queen's Pawn Game #2,D00,1800+15
1619,1655,1-0,Time forfeit,Owen Defense,B00,0+1
1617,1532,1-0,Normal,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",C57,300+8
1911,1905,0-1,Normal,Nimzo-Larsen Attack: Modern Variation #3,A01,180+0
1905,2201,0-1,Normal,Sicilian Defense: Wing Gambit,B20,180+0
1643,1609,1-0,Time forfeit,Hungarian Opening,A00,0+1
1244,1499,0-1,Normal,King's Pawn Game: Tortoise Opening,C20,360+3
1514,1587,0-1,Time forfeit,Center Game: Normal Variation,C22,180+1
1213,1397,0-1,Time forfeit,English Opening: Great Snake Variation,A10,60+0
1599,1652,1-0,Time forfeit,Owen Defense: Smith Gambit,B00,0+1
1286,1275,1-0,Normal,King's Pawn Game: Wayward Queen Attack,C20,600+3
1640,1612,0-1,Time forfeit,Hungarian Opening,A00,0+1
1639,1613,1-0,Time forfeit,Hungarian Opening,A00,0+1
1524,1625,0-1,Time forfeit,Vienna Game: Anderssen Defense,C25,300+8
1427,1079,1-0,Time forfeit,King's Pawn Game: McConnell Defense,C40,300+0
1624,1629,0-1,Time forfeit,Owen Defense: Smith Gambit,B00,0+1
1262,1706,0-1,Normal,Queen's Pawn,A40,0+2
1365,1183,1-0,Time forfeit,King's Pawn Game: Napoleon Attack,C20,480+0
1403,1206,0-1,Time forfeit,Bird Opening,A02,60+0
1859,2230,0-1,Normal,Sicilian Defense: Lasker-Dunne Attack,B20,180+2
1429,1454,1-0,Normal,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,300+3
1685,1748,0-1,Normal,King's Knight Opening,C40,300+2
1226,1385,1-0,Time forfeit,Ruy Lopez: Bird Variation,C61,60+0
1603,1649,0-1,Normal,Owen Defense,B00,0+1
1504,1504,0-1,Normal,Vienna Game: Stanley Variation,C26,360+3
1596,1594,0-1,Normal,Italian Game: Giuoco Pianissimo,C50,180+1
1642,1736,0-1,Normal,King's Knight Opening: Konstantinopolsky,C44,300+8
1708,1255,1-0,Normal,Elephant Gambit,C40,0+2
1658,1593,1/2-1/2,Normal,Hungarian Opening,A00,0+1
1367,1246,1-0,Time forfeit,Bird Opening,A02,60+0
1653,1500,1-0,Normal,Sicilian Defense: Bowdler Attack,B20,180+8
1237,1376,0-1,Time forfeit,English Opening: Great Snake Variation,A10,60+0
1595,1656,1-0,Time forfeit,Owen Defense,B00,0+1
1656,1595,0-1,Normal,Hungarian Opening,A00,0+1
1383,1228,1-0,Time forfeit,Bird Opening,A02,60+0
1332,1557,0-1,Normal,Zukertort Opening: Tennison Gambit,A06,300+1
1710,1248,1-0,Normal,King's Pawn Game: Damiano Defense,C40,0+2
1443,1239,1-0,Time forfeit,Scandinavian Defense: Main Line,B01,300+2
1608,1644,1-0,Time forfeit,Owen Defense,B00,0+1
1724,2072,1-0,Normal,Franco-Benoni Defense,A43,120+0
1584,1493,1-0,Normal,Philidor Defense #3,C41,180+1
1644,1608,1-0,Normal,Hungarian Opening,A00,0+1
1466,1515,0-1,Normal,Queen's Gambit Refused: Marshall Defense,D06,360+3
1484,1593,1/2-1/2,Normal,Ruy Lopez: Classical Variation,C64,180+1
1221,1390,0-1,Time forfeit,Four Knights Game: Ranken Variation,C48,60+0
2056,1900,1-0,Normal,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",B31,120+0
1620,1632,0-1,Time forfeit,Owen Defense,B00,0+1
1242,1712,0-1,Normal,Van Geet Opening,A00,0+2
1392,1516,0-1,Normal,Latvian Gambit,C40,300+8
1643,1610,0-1,Time forfeit,Hungarian Opening,A00,0+1
1713,1237,1-0,Time forfeit,King's Knight Opening,C40,0+2
1397,1213,1-0,Time forfeit,Bird Opening,A02,60+0
1610,1643,1-0,Normal,Owen Defense,B00,0+1
1820,1649,1-0,Time forfeit,Scandinavian Defense: Modern Variation #2,B01,120+0
1634,1415,1-0,Normal,French Defense #2,C00,300+7
1231,1715,0-1,Time forfeit,Robatsch (Modern) Defense,B06,0+2
1631,1621,0-1,Time forfeit,Hungarian Opening,A00,0+1
1207,1403,0-1,Normal,Modern Defense,B06,60+0
1521,1401,0-1,Normal,Bishop's Opening,C23,300+2
1442,1440,1-0,Normal,Italian Game: Anti-Fried Liver Defense,C55,300+3
1371,1141,1-0,Normal,Bishop's Opening: Khan Gambit,C23,480+0
1661,1606,0-1,Normal,Ruy Lopez: Cozio Defense,C60,180+8
1620,1632,1-0,Normal,Hungarian Opening,A00,0+1
1697,1242,1-0,Normal,Nimzowitsch Defense,B00,300+5
1717,1226,1-0,Time forfeit,Latvian Gambit,C40,0+2
1632,1620,1-0,Normal,Owen Defense,B00,0+1
1610,1643,0-1,Normal,Hungarian Opening,A00,0+1
1409,1200,0-1,Time forfeit,Bird Opening,A02,60+0
1500,1856,1-0,Normal,Queen's Pawn,A40,180+2
1522,1575,0-1,Normal,Vienna Game,C27,300+8
1652,1601,1-0,Normal,Owen Defense,B00,0+1
1525,1457,0-1,Normal,Queen's Pawn Game: Chigorin Variation,D00,360+3
1507,1694,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,120+4
1592,1661,1-0,Time forfeit,Hungarian Opening,A00,0+1
1842,1596,0-1,Time forfeit,Ruy Lopez,C60,180+2
1639,2012,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,300+7
1978,2062,1-0,Time forfeit,French Defense: Knight Variation,C00,0+1
1898,1369,1-0,Normal,Bird Opening: Dutch Variation,A03,300+8
1604,1649,1-0,Time forfeit,Hungarian Opening: Slav Formation,A00,0+1
1649,1604,1-0,Normal,Owen Defense,B00,0+1
1978,2062,1-0,Time forfeit,Center Game #2,C21,0+1
1994,2049,0-1,Normal,Nimzo-Larsen Attack,A01,0+1
1335,1407,1-0,Normal,King's Pawn Game: Leonardis Variation,C20,600+8
1658,1595,0-1,Time forfeit,Owen Defense,B00,0+1
1983,2058,1-0,Normal,King's Pawn Game: Maroczy Defense,B07,0+1
1877,1589,1-0,Time forfeit,King's Pawn Game: Tayler Opening,C44,180+1
1607,1646,1-0,Time forfeit,Hungarian Opening,A00,0+1
1646,1607,1-0,Normal,Owen Defense,B00,0+1
1619,1500,1-0,Time forfeit,Hungarian Opening,A00,0+1
1719,1586,1/2-1/2,Normal,Petrov's Defense,C42,60+2
1220,1391,0-1,Time forfeit,Modern Defense,B06,60+0
1936,1956,1/2-1/2,Normal,Philidor Defense #4,C41,300+8
1433,1235,0-1,Normal,Blackmar-Diemer Gambit: Gedult Gambit,D00,300+0
1727,1618,0-1,Normal,Scotch Game,C45,300+3
1735,1831,1-0,Normal,Indian Game,A45,900+8
1329,1233,1-0,Time forfeit,English Opening: Anglo-Scandinavian Defense,A10,240+0
1901,1822,1-0,Normal,Scandinavian Defense,B01,180+2
1470,1512,1-0,Normal,"Queen's Gambit Accepted: Alekhine Defense, Haberditz Variation",D22,360+3
1429,1019,1-0,Time forfeit,Van't Kruijs Opening,A00,420+0
1265,1641,0-1,Time forfeit,King's Pawn Game: Wayward Queen Attack,C20,1200+0
1510,1481,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,240+2
2015,1636,1-0,Time forfeit,"English Opening: King's English Variation, Two Knights Variation",A22,300+7
1702,1501,1-0,Normal,King's Pawn Game: McConnell Defense,C40,120+4
1629,1907,0-1,Time forfeit,Hungarian Opening: Slav Formation,A00,0+1
1705,1714,0-1,Normal,Owen Defense,B00,120+0
1561,1368,1-0,Normal,Scotch Game,C45,480+0
1551,1933,1-0,Normal,Three Knights Opening,C46,300+2
1625,1375,1-0,Time forfeit,Hungarian Opening,A00,0+1
2005,1718,0-1,Time forfeit,"Queen's Gambit Refused: Chigorin Defense, Main Line",D07,120+0
1812,1950,0-1,Time forfeit,"King's Gambit Declined, Classical Variation",C30,180+3
1899,1655,1-0,Normal,Bird Opening,A02,540+7
1744,1337,1-0,Normal,French Defense: Exchange Variation,C01,300+0
1075,1655,0-1,Normal,Caro-Kann Defense: Hillbilly Attack,B00,180+0
1625,1518,0-1,Time forfeit,Hungarian Opening: Reversed Modern Defense,A00,0+1
1571,1513,1-0,Normal,Latvian Gambit Accepted,C40,300+8
1518,1625,0-1,Time forfeit,English Defense #2,A40,0+1
1727,1694,1/2-1/2,Normal,King's Pawn Game: Tayler Opening,C44,120+0
1311,1449,1-0,Normal,Caro-Kann Defense: Accelerated Panov Attack,B10,300+5
1566,1361,1-0,Normal,Scotch Game,C45,480+0
1611,1510,0-1,Normal,Hungarian Opening: Reversed Modern Defense,A00,0+1
1650,1905,1-0,Normal,Scandinavian Defense: Gubinsky-Melts Defense,B01,540+7
1740,1939,0-1,Time forfeit,Sicilian Defense: Wing Gambit,B20,120+0
1398,1500,0-1,Time forfeit,Bird Opening,A02,60+0
1525,1597,0-1,Normal,Hungarian Opening,A00,0+1
1636,1711,1-0,Normal,Sicilian Defense: Mengarini Variation,B20,300+3
1777,1955,0-1,Normal,Philidor Defense #2,C41,900+0
1998,1631,0-1,Normal,Carr Defense,B00,60+0
1726,1645,0-1,Time forfeit,Sicilian Defense: Old Sicilian,B30,0+2
1535,1503,0-1,Normal,Latvian Gambit Accepted,C40,300+8
1606,1515,0-1,Normal,Hungarian Opening: Slav Formation,A00,0+1
1622,1660,1-0,Normal,Queen's Gambit Refused: Baltic Defense,D02,180+10
1521,1253,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,240+2
1981,1899,1-0,Normal,Carr Defense,B00,60+0
1949,1733,1-0,Normal,Four Knights Game: Halloween Gambit,C46,120+0
1499,1368,1-0,Normal,Englund Gambit Complex Declined,A40,300+0
1530,1592,1-0,Time forfeit,Hungarian Opening,A00,0+1
1361,1072,1-0,Time forfeit,Van't Kruijs Opening,A00,300+0
1816,1990,0-1,Normal,Zukertort Opening: Kingside Fianchetto,A04,60+0
1699,1506,1/2-1/2,Normal,English Opening: Anglo-Gruenfeld Defense,A16,300+5
1240,1384,0-1,Normal,Vienna Game,C27,300+1
1580,1544,1-0,Time forfeit,Hungarian Opening: Reversed Modern Defense,A00,0+1
1804,1957,1-0,Normal,"King's Gambit Declined, Classical Variation",C30,180+3
1938,1893,1-0,Normal,Dutch Defense: Rubinstein Variation,A84,300+8
1162,1496,0-1,Normal,King's Knight Opening,C40,1020+10
1533,1589,1-0,Normal,Hungarian Opening,A00,0+1
1572,1755,0-1,Normal,"Sicilian Defense: Four Knights Variation, Exchange Variation",B45,480+0
1996,1768,0-1,Normal,French Defense: Knight Variation,C00,60+0
1695,1710,1-0,Time forfeit,Owen Defense,B00,120+0
1558,1662,0-1,Time forfeit,Sicilian Defense: Old Sicilian,B30,120+0
1886,1979,1-0,Time forfeit,Anderssen Opening,A00,60+0
1575,1632,1-0,Normal,Queen's Pawn Game: Levitsky Attack,D00,180+10
1512,1692,0-1,Normal,Queen's Pawn Game: Stonewall Attack,D00,300+5
1746,1453,1-0,Normal,Sicilian Defense: Mengarini Variation,B20,300+10
1060,1365,0-1,Time forfeit,Van Geet Opening,A00,300+0
1697,1707,1-0,Time forfeit,King's Pawn Game: Tayler Opening,C44,120+0
1566,1092,1-0,Time forfeit,Russian Game: Modern Attack,C43,480+0
1231,1396,0-1,Normal,Wade Defense,A41,300+1
1364,1822,1-0,Normal,St. George Defense,B00,180+2
1672,1965,0-1,Normal,Queen's Pawn Game: Anglo-Slav Opening,A41,60+0
1740,1696,0-1,Normal,"Ruy Lopez: Closed Variations, Keres Defense",C96,240+4
1599,1409,0-1,Normal,"French Defense: Advance Variation, Paulsen Attack",C02,360+8
1496,1631,0-1,Time forfeit,"King's Gambit Accepted, Bishop's Gambit",C33,720+4
1969,1744,1-0,Time forfeit,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",B21,0+1
1696,1710,0-1,Normal,Owen Defense,B00,120+0
1550,1577,1-0,Normal,Owen Defense,B00,120+0
1883,1966,0-1,Normal,Zukertort Opening: Sicilian Invitation,A04,300+8
1974,1964,1-0,Time forfeit,"Sicilian Defense: Modern Variations, Tartakower",B53,0+1
1574,1643,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,600+5
1739,1668,1-0,Normal,English Opening: Agincourt Defense,A13,60+1
1368,1049,1-0,Time forfeit,Van't Kruijs Opening,A00,300+0
1580,1496,1-0,Normal,Modern Defense: Standard Line,B06,420+7
1568,1356,1-0,Normal,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",B00,480+0
1448,1750,0-1,Normal,English Opening: King's English Variation,A20,300+10
1959,1727,0-1,Time forfeit,"Ruy Lopez: Schliemann Defense, Classical Variation",C63,120+0
1557,1582,1-0,Normal,Four Knights Game: Italian Variation,C46,360+8
1941,1698,1-0,Normal,Italian Game: Scotch Gambit,C55,180+3
1565,1722,0-1,Time forfeit,Hungarian Opening,A00,0+1
1722,1565,0-1,Time forfeit,Owen Defense,B00,0+1
1586,1852,1-0,Normal,Scandinavian Defense: Main Line,B01,300+8
1748,2102,0-1,Time forfeit,English Opening: Anglo-Scandinavian Defense,A10,60+1
1771,2018,1-0,Time forfeit,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,900+0
1016,1563,0-1,Time forfeit,Scandinavian Defense,B01,300+0
1559,1729,1-0,Time forfeit,Zukertort Opening: Queenside Fianchetto Variation,A04,0+1
1573,1576,0-1,Time forfeit,Scotch Game,C45,480+0
1525,1470,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,240+2
1575,1711,0-1,Normal,Hungarian Opening,A00,0+1
1039,1372,0-1,Normal,French Defense: La Bourdonnais Variation,C00,300+0
1728,1726,0-1,Time forfeit,Philidor Defense: Exchange Variation,C41,240+4
1568,1719,1-0,Time forfeit,Hungarian Opening,A00,0+1
1561,1587,0-1,Time forfeit,Scotch Game,C45,600+10
1306,1350,1-0,Normal,Queen's Pawn Game #3,D00,300+8
1946,1640,1-0,Normal,Scotch Game: Scotch Gambit,C44,180+3
1318,1236,1-0,Time forfeit,Queen's Pawn Game,D00,1800+0
1719,1568,1-0,Normal,Owen Defense,B00,0+1
1598,1429,1-0,Normal,French Defense #2,C00,600+10
1710,1472,1-0,Normal,Center Game: Paulsen Attack Variation,C22,300+3
1832,1604,1-0,Normal,Caro-Kann Defense: Main Line,B15,300+8
1561,1702,1-0,Time forfeit,Hungarian Opening,A00,0+1
1535,1461,0-1,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,240+2
1337,1063,1-0,Normal,Queen's Pawn Game: Krause Variation,D02,300+8
1634,1545,1-0,Normal,Italian Game: Giuoco Pianissimo,C50,300+7
1685,1576,1-0,Normal,Owen Defense,B00,0+1
1576,1685,1/2-1/2,Normal,Hungarian Opening,A00,0+1
1391,1213,1-0,Time forfeit,Bird Opening,A02,60+0
1227,1327,1-0,Normal,Amazon Attack,D00,1800+0
1421,1604,1-0,Normal,"King's Gambit Accepted, Becker Defense",C34,600+10
1846,1515,0-1,Normal,Latvian Gambit Accepted,C40,300+8
1681,1580,1-0,Normal,Owen Defense,B00,0+1
1377,1766,0-1,Normal,French Defense #2,C00,480+0
1716,1527,1-0,Normal,Philidor Defense: Exchange Variation #2,C41,240+4
1466,1474,1-0,Time forfeit,French Defense: Rubinstein Variation,C10,300+0
1521,1335,1/2-1/2,Normal,Sicilian Defense: Bowdler Attack,B20,240+2
1375,1564,0-1,Normal,Van't Kruijs Opening,A00,300+0
2049,1397,1-0,Normal,"King's Indian Defense: Semi-Classical Variation, Benoni Variation",E61,60+0
1599,1838,0-1,Normal,"Sicilian Defense: Smith-Morra Gambit Declined, Alapin Formation",B21,300+8
1588,1441,0-1,Normal,French Defense: Advance Variation,C02,600+10
1572,1690,1/2-1/2,Normal,Hungarian Opening,A00,0+1
1685,2050,0-1,Normal,"Italian Game: Classical Variation, Albin Gambit",C53,120+0
1690,1572,0-1,Normal,Owen Defense,B00,0+1
1551,1586,0-1,Time forfeit,Scotch Game: Schmidt Variation,C45,480+0
1586,1686,0-1,Normal,Hungarian Opening,A00,0+1
2053,1682,1-0,Normal,Queen's Pawn Game #3,D00,120+0
1405,1434,0-1,Normal,French Defense #2,C00,300+10
1722,1500,1-0,Normal,King's Pawn Game: Maroczy Defense,B07,240+4
1680,2056,0-1,Normal,Philidor Defense: Exchange Variation #3,C41,120+0
1284,1369,0-1,Normal,French Defense: Normal Variation,C00,300+0
1572,1014,1-0,Normal,French Defense: Normal Variation,C00,300+0
1313,1241,0-1,Normal,Queen's Pawn Game #2,D00,1800+0
1746,1521,1/2-1/2,Normal,"Scotch Game: Goering Gambit, Double Pawn Sacrifice",C44,300+0
1552,1655,1-0,Normal,Bishop's Opening: Vienna Hybrid,C28,600+8
2059,1677,1/2-1/2,Normal,Italian Game: Two Knights Defense,C55,120+0
1463,1478,0-1,Time forfeit,Queen's Gambit Refused: Albin Countergambit,D08,300+0
1578,1657,0-1,Normal,Hungarian Opening: Sicilian Invitation,A00,0+1
1515,1580,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,240+2
1499,1523,0-1,Normal,Philidor Defense: Exchange Variation #3,C41,300+8
1460,1572,0-1,Normal,"King's Gambit Accepted, Becker Defense",C34,600+10
1772,2048,0-1,Time forfeit,"English Opening: King's English Variation, Four Knights Variation, Bradley Beach Variation",A28,60+0
1949,2046,0-1,Time forfeit,"Italian Game: Scotch Gambit, Anderssen Attack",C56,180+3
1642,1616,1-0,Normal,Russian Game: Urusov Gambit,C42,300+7
1739,1573,0-1,Normal,"Danish Gambit Accepted, Copenhagen Defense",C21,300+0
1533,1595,1-0,Normal,Pirc Defense #4,B07,300+8
1667,1570,1-0,Normal,English Defense #2,A40,0+1
1318,1013,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+0
1842,1708,1-0,Normal,Modern Defense,B06,300+8
1374,1341,0-1,Normal,Scotch Game: Classical Variation,C45,480+0
1986,2053,0-1,Time forfeit,Rat Defense: Small Center Defense,C00,0+1
1727,1803,1-0,Time forfeit,"Sicilian Defense: Najdorf Variation, Adams Attack",B90,240+4
1927,1695,0-1,Time forfeit,Owen Defense,B00,0+2
2064,1976,1-0,Time forfeit,Modern Defense,A40,0+1
1910,2044,0-1,Time forfeit,Scandinavian Defense,B01,300+0
1976,2064,0-1,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,0+1
1639,1589,0-1,Normal,"French Defense: Advance Variation, Euwe Variation",C02,600+2
1489,1452,0-1,Time forfeit,French Defense: Rubinstein Variation,C10,300+0
1562,1713,1-0,Time forfeit,Hungarian Opening,A00,0+1
2074,1966,1-0,Time forfeit,Modern Defense: Geller's System,B06,0+1
1713,1562,1-0,Normal,Owen Defense,B00,0+1
1497,1615,1-0,Normal,Scandinavian Defense,B01,300+0
2007,1745,1-0,Time forfeit,Sicilian Defense,B20,0+1
1569,1537,1/2-1/2,Normal,Hungarian Opening: Catalan Formation,A00,120+5
1958,2084,1-0,Normal,"Sicilian Defense: Modern Variations, Tartakower",B53,0+1
1537,1502,1-0,Normal,Queen's Pawn Game #2,D00,1800+15
2024,1741,0-1,Normal,Sicilian Defense,B20,0+1
1701,1850,0-1,Normal,Queen's Gambit Refused: Marshall Defense,D06,300+8
1562,1896,0-1,Time forfeit,Sicilian Defense: French Variation,B40,120+0
1600,1669,1-0,Normal,"King's Gambit Accepted, Modern Defense",C36,540+7
1577,1696,1-0,Time forfeit,Hungarian Opening,A00,0+1
1952,1974,0-1,Normal,Van't Kruijs Opening,A00,0+1
1696,1577,0-1,Time forfeit,Owen Defense,B00,0+1
1721,1528,1-0,Normal,Sicilian Defense #2,B54,300+0
1472,1484,0-1,Normal,Philidor Defense #3,C41,60+15
1849,1431,1-0,Normal,French Defense: Normal Variation,C00,300+0
1759,1901,1/2-1/2,Normal,English Opening: Great Snake Variation,A10,60+1
1909,2052,0-1,Normal,"Caro-Kann Defense: Panov Attack, Modern Defense, Mieses Line",B13,300+0
1985,1915,1-0,Normal,Caro-Kann Defense,B10,0+1
1591,1681,1-0,Time forfeit,Hungarian Opening,A00,0+1
1464,1476,1-0,Normal,Rat Defense: English Rat,A41,300+0
1254,1300,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,1800+0
1887,1994,0-1,Normal,Pirc Defense #4,B07,0+1
2018,1789,1-0,Time forfeit,Semi-Slav Defense: Main Line,D45,240+0
1528,1526,1-0,Normal,Philidor Defense: Hanham Variation,C41,600+8
1557,1666,0-1,Normal,Sicilian Defense,B54,0+2
1864,2003,0-1,Normal,Modern Defense,B06,0+1
1557,1666,0-1,Normal,Bird Opening,A02,0+2
1655,1625,1-0,Normal,Zukertort Opening: Wade Defense,A04,540+7
2060,1902,0-1,Time forfeit,"King's Indian Defense: Saemisch Variation, Normal Defense",E81,300+0
1510,1467,0-1,Time forfeit,King's Knight Opening: Normal Variation,C44,300+0
1682,1903,1-0,Normal,Four Knights Game: Scotch Variation Accepted,C47,180+0
1305,1451,1-0,Normal,"French Defense: Advance Variation, Paulsen Attack",C02,420+8
1495,1461,1-0,Normal,Queen's Pawn Game,D00,60+15
1763,1894,0-1,Time forfeit,English Opening: Great Snake Variation,A10,60+1
